name,slug,country,city,homepage
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"university of konstanz","university-of-konstanz","tyskland","konstanz", ""
"técnico lisboa","técnico-lisboa","portugal","lisboa", ""
"técnico lisboa","técnico-lisboa","portugal","lisboa", ""
"ist","ist","portugal","lisboa", ""
"epfl","epfl","sveits","lausanne", ""
"montanuniversität leoben","montanuniversität-leoben","Østerrike","leoben", ""
"iade","iade","portugal","lisboa", ""
"mit","mit","usa","boston", ""
"ist","ist","portugal","lisboa", ""
"universidad de la laguna","universidad-de-la-laguna","spania","la laguna", ""
"københavns professionshøjskole","københavns-professionshøjskole","danmark","københavn", ""
"technical university of munich","technical-university-of-munich","tyskland","münchen", ""
"universidad de la laguna","universidad-de-la-laguna","spania","tenerife", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"arkitektskolen aarhus","arkitektskolen-aarhus","danmark","aarhus", ""
"danmarks tekniske universitet","danmarks-tekniske-universitet","danmark","københavn", ""
"universidad de la laguna (ull)","universidad-de-la-laguna-(ull)","spania","san cristóbal de la laguna", ""
"universidad de la laguna","universidad-de-la-laguna","spania","la laguna", ""
"politecnico di milano","politecnico-di-milano","italia","milano", ""
"dtu","dtu","danmark","københavn", ""
"universitetet i bologna","universitetet-i-bologna","italia","bologna", ""
"chalmers university of technology","chalmers-university-of-technology","sverige","gøteborg", ""
"universitat politècnica de catalunya (upc)","universitat-politècnica-de-catalunya-(upc)","spania","barcelona", ""
"ist, instituto superior tecnico (universidade de lisboa)","ist,-instituto-superior-tecnico-(universidade-de-lisboa)","portugal","lisboa", ""
"university of southampton","university-of-southampton","storbritannia","southampton", ""
"university of southampton","university-of-southampton","storbritannia","southampton", ""
"danske tekniske universitet (dtu)","danske-tekniske-universitet-(dtu)","danmark","københavn", ""
"uniwersytet jagiellonski","uniwersytet-jagiellonski","polen","krakow", ""
"université de nantes","université-de-nantes","frankrike","nantes", ""
"czech technical university, ctu","czech-technical-university,-ctu","tsjekkia","praha", ""
"university of twente","university-of-twente","nederland","enschede", ""
"ostravska univerzita","ostravska-univerzita","tsjekkia","ostrava", ""
"technical university of denmark","technical-university-of-denmark","danmark","københavn", ""
"university college dublin","university-college-dublin","irland","dublin", ""
"universitat politecnica de valencia","universitat-politecnica-de-valencia","spania","valencia", ""
"la sapienza","la-sapienza","italia","roma", ""
"sciences po","sciences-po","frankrike","lyon", ""
"elte - eötvös loránd university","elte---eötvös-loránd-university","ungarn","budapest", ""
"ntnus brusselkontor","ntnus-brusselkontor","belgia","brussel", ""
"internship ntnu brusselkontor","internship-ntnu-brusselkontor","belgia","brussel", ""
"eth","eth","sveits","zürich", ""
"sintef","sintef","belgia","brussel", ""
"sintef","sintef","belgia","bruxelles", ""
"uva","uva","nederland","amsterdam", ""
"göteborg universitet","göteborg-universitet","sverige","göteborg", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"university of bologna","university-of-bologna","italia","bologna", ""
"dtu","dtu","danmark","københavn", ""
"the university of tokyo","the-university-of-tokyo","japan","tokyo", ""
"tu wien","tu-wien","Østerrike","wien", ""
"universitat politècnica de catalunya (upc)","universitat-politècnica-de-catalunya-(upc)","spania","barcelona", ""
"universidad politécnica de valencia","universidad-politécnica-de-valencia","spania","valencia", ""
"alma university","alma-university","italia","bologna", ""
"tum","tum","tyskland","munchen", ""
"ku leuven","ku-leuven","belgia","leuven", ""
"tum","tum","tyskland","münchen", ""
"università degli studi di perugia","università-degli-studi-di-perugia","italia","perugia", ""
"university of stuttgart","university-of-stuttgart","tyskland","stuttgart", ""
"ghent university","ghent-university","belgia","gent", ""
"università di bologna","università-di-bologna","italia","bologna", ""
"università degli studi di torino","università-degli-studi-di-torino","italia","torino", ""
"university of bologna","university-of-bologna","italia","bolgona", ""
"shanghai jiao tong university","shanghai-jiao-tong-university","kina","shanghai", ""
"tum","tum","tyskland","münchen", ""
"tum","tum","tyskland","münchen", ""
"tum","tum","tyskland","münchen", ""
"universiteit gent","universiteit-gent","belgia","gent", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"universita di bologna","universita-di-bologna","italia","bologna", ""
"ku leuven","ku-leuven","belgia","leuven", ""
"epfl","epfl","sveits","lausanne", ""
"insa toulouse","insa-toulouse","frankrike","toulouse", ""
"università ca’ foscari venezia","università-ca’-foscari-venezia","italia","venezia", ""
"national taiwan university of science and technology","national-taiwan-university-of-science-and-technology","taiwan","taipei", ""
"aarhus universitet","aarhus-universitet","danmark","aarhus", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"tu berlin","tu-berlin","tyskland","berlin", ""
"technische universität münchen","technische-universität-münchen","tyskland","münchen", ""
"università di bologna","università-di-bologna","italia","bologna", ""
"university of otago","university-of-otago","new zealand","dunedin", ""
"tum","tum","tyskland","münchen", ""
"instituto superior tecnico","instituto-superior-tecnico","portugal","lisboa", ""
"politecnico di torino","politecnico-di-torino","italia","torino", ""
"rwth","rwth","tyskland","aachen", ""
"universidad de lisboa","universidad-de-lisboa","portugal","lisboa", ""
"instituto superior técnico","instituto-superior-técnico","portugal","lisboa", ""
"ist","ist","portugal","lisboa", ""
